company,country,icp_fit,icp_signals,description,founder,public_contact,website,source
Technolution,Denmark,STRONG,"startup/SME-facing, regulatory/QA focus","Technolution is a consulting company that helps Medical Device companies within areas like Mechanical engineering, Usability Engineering (HFE), Design & User Experience (UX), Test & Verification, Design Control, Business Development, and Quality Management. The firm also retains a special focus on Pharma companies, as well as MedTech start-ups.",(enrich from site),(enrich from site),https://technolution-tn.com/,SimplerQMS directory
Congenius,Switzerland,STRONG,"startup/SME-facing, boutique/specialist, regulatory/QA focus","Congenius offers smart Medical Device consultancy services in the fields of Quality, Regulatory, eHealth, Clinical, and Operations. The company provides tailored expertise and leadership to global firms, established SME’s, as well as aspiring start-ups in the medical device, in-vitro diagnostics, and pharmaceutical industry.",(enrich from site),(enrich from site),https://congenius.ch/,SimplerQMS directory
InsideReg,Switzerland,STRONG,"startup/SME-facing, regulatory/QA focus","InsideReg is a small Regulatory Affairs Consultancy specializing in Chemistry, Manufacturing, and Controls (CMC) and Regulatory strategy. The firm works with companies of all sizes: from start-ups to top ten pharma, and at all stages of product development: from proof of concept to post-marketing activities.",(enrich from site),(enrich from site),https://insidereg.com/,SimplerQMS directory
Maxia Strategies,Switzerland,STRONG,"startup/SME-facing, regulatory/QA focus",Maxia Strategies is a Life Sciences Regulatory consultancy. The firm specializes in creating efficient product development strategies and providing supporting regulatory services. Maxia Strategies helps small to medium-sized enterprises maximize the value of their products throughout their development lifecycle.,(enrich from site),(enrich from site),https://maxiastrategies.com/,SimplerQMS directory
ECT Healthcare Consultancy,UK & Ireland,STRONG,"startup/SME-facing, regulatory/QA focus","ECT Healthcare Consultancy provides Regulatory, New Product Development, and Commerical consultancy services to the Medical Device and Healthcare Technology Industries. Collaborating with cutting-edge healthcare SMEs and larger OEMs.",(enrich from site),(enrich from site),https://www.ecthealthcare.com/,SimplerQMS directory
Advena Medical,UK & Ireland,STRONG,"startup/SME-facing, regulatory/QA focus",Advena Ltd. was founded in 1996 and provides cost-effective regulatory affairs consulting services to small and medium-sized medical device manufacturers and distributors seeking to import their medical devices into the European Union.,(enrich from site),(enrich from site),http://www.advenamedical.com/,SimplerQMS directory
Datod Consulting,UK & Ireland,STRONG,"startup/SME-facing, regulatory/QA focus","Datod provides process improvement and change management consultancy to small to medium-sized organizations helping them unravel complexity from their organizations. Particular focus on improving Quality Management Systems to improve efficiency, effectiveness, and compliance.",(enrich from site),(enrich from site),https://www.datod-consulting.co.uk/,SimplerQMS directory
Guide Consulting,UK & Ireland,STRONG,"startup/SME-facing, regulatory/QA focus","Established to support small to medium-sized businesses with developing and maintaining their management system. Services include ISO 9001, ISO 14001, ISO 45001, ISO 27001, ISO 22301, and ISO 13485.",(enrich from site),(enrich from site),https://guideconsulting.co.uk/,SimplerQMS directory
Michor Consulting,Austria,GOOD,regulatory/QA focus,"From conception and strategy to post-market maintenance – Michor Consulting offers advice and training in all key areas of regulatory affairs, compliance, business organization, quality assurance, and risk and interim management.",(enrich from site),(enrich from site),https://www.michor-consulting.eu/,SimplerQMS directory
BioMedConsult,Austria,GOOD,boutique/specialist,BioMedConsult was founded in 2006 as an independent consulting company which offers their international clients a comprehensive & high level of expertise in Life Science.,(enrich from site),(enrich from site),https://biomedconsult.at/,SimplerQMS directory
Pharmaceutical and Regulatory Services GmbH,Austria,GOOD,regulatory/QA focus,PRSG is a company that offers comprehensive services for all aspects of regulatory affairs in means of a One-Stop-Shop. They can help you identify the ideal strategic and regulatory marketability approach for your pharmaceutical product.,(enrich from site),(enrich from site),http://www.prsg.at/,SimplerQMS directory
Drehm Pharma,Austria,GOOD,regulatory/QA focus,"Drehm Pharma offers a broad range of consultancy services to pharmaceutical companies of all sizes. They support successful product lifecycle management, ranging from the conception of a product idea through strategic planning, development, testing, registration, marketing, and quality management.",(enrich from site),(enrich from site),https://drehm.at/en/,SimplerQMS directory
Anapur AG,Austria,GOOD,boutique/specialist,"Over many years, Anapur has built significant know-how in the area of validation and qualification of pharmaceutical systems. They offer solutions tailored to meet your demands for reaching GMP compliance.",(enrich from site),(enrich from site),https://anapur.de/,SimplerQMS directory
Acet Pharma,Austria,GOOD,regulatory/QA focus,"Acet Pharma is a consulting company founded in 2016 by Udo Tschernuter. Acet Pharma offers support and assistance in all pharmaceutical-technical areas such as product development, manufacturing, storage, transport, quality-control, quality-assurance, regulatory documents.",(enrich from site),(enrich from site),https://www.acet.at/en,SimplerQMS directory
RAQA,Denmark,GOOD,regulatory/QA focus,"RAQA advises and supports medical device companies and local councils/hospitals in Regulatory Affairs and Quality Assurance compliance from their office in Ringsted, Denmark. Their goal is to provide clients with the tools to understand and navigate the applicable regulations, guiding and supporting their compliance processes as needed.",(enrich from site),(enrich from site),https://raqa.dk/en/,SimplerQMS directory
IWA Consulting,Denmark,GOOD,"boutique/specialist, regulatory/QA focus","IWA Consulting is a group of regulatory affairs specialists providing expert services to a range of international private and public clients within industries like Medical Device, Biotech, and Pharma. The consulting firm has long-term experience within regulatory affairs, in-depth knowledge, and an understanding of the sense of urgency that applies to this business area.",(enrich from site),(enrich from site),https://iwaconsulting.dk/,SimplerQMS directory
Qmed Consulting,Denmark,GOOD,regulatory/QA focus,"Qmed Consulting is a global full-service Contract Research Organization (CRO) based in Copenhagen, Denmark. The firm provides strategic consulting services in connection with Medical Device approval as well as best-in-class expertise in clinical affairs, regulatory affairs, quality management, and commercial healthcare.",(enrich from site),(enrich from site),https://www.qmed-consulting.com/,SimplerQMS directory
Medicologic,Denmark,GOOD,"boutique/specialist, regulatory/QA focus","Medicologic has a team of dedicated freelance consultants and specialists that help companies develop solutions that meet the expectations, requirements, and challenges in the Medtech and Pharma markets. The consulting firm provides services like In-Housing, MDR- & IVDR, Service Agreements, QMS, and others.",(enrich from site),(enrich from site),https://medicologic.com/,SimplerQMS directory
Borgensgaard Consulting,Denmark,GOOD,regulatory/QA focus,"Borgensgaard Consulting provides a variety of consulting services to companies in the Life Science industry like Medical Device, Pharmaceutical, and Biotech but is also very relevant for other industries. The firm specializes primarily in Quality Leadership, Quality Management, Regulatory Compliance, and Human Behavior.",(enrich from site),(enrich from site),https://borgensgaard-consulting.dk/,SimplerQMS directory
Aquilo Consulting,Denmark,GOOD,boutique/specialist,"Aquilo Consulting is an international management consulting firm specialized in developing and implementing growth strategies for private healthcare companies and public healthcare organizations. The company helps Medical Device, Pharmaceutical companies, and other healthcare providers grow the quality, efficiency, and profitability of their businesses.",(enrich from site),(enrich from site),https://aquiloconsulting.com/,SimplerQMS directory
PHARMAKIA,Denmark,GOOD,regulatory/QA focus,"Pharmakia is a Private Limited Company managed by an owner who is also a consultant. The owner of the consulting firm, Stephane Labrosse, can help you in the areas of Project Management, Quality Assurance, Regulatory Affairs, Validation, and Technical Expertise in Medical Device development.",(enrich from site),(enrich from site),https://www.pharmakia.dk/,SimplerQMS directory
